Season,Player,Salary,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,KobeBryant,15946875,28,LAL,NBA,SG,77,77,3140,813,1757,.463,137,398,.344,676,1359,.497,.502,667,768,.868,75,364,439,413,111,36,255,205,2430
2007-08,KobeBryant,19490625,LAL,NBA,SG,82,82,3192,775,1690,.459,150,415,.361,625,1275,.490,.503,623,742,.840,94,423,517,441,151,40,257,227,2323
2008-09,KobeBryant,21262500 ,LAL,NBA,SG,82,82,2960,800,1712,.467,118,336,.351,682,1376,.496,.502,483,564,.856,90,339,429,399,120,37,210,189,2201
2009-10,KobeBryant,23034375,LAL,NBA,SG,73,73,2835,716,1569,.456,99,301,.329,617,1268,.487,.488,439,541,.811,78,313,391,365,113,20,233,187,1970
2010-11,KobeBryant,24806250,LAL,NBA,SG,82,82,2779,740,1639,.451,115,356,.323,625,1283,.487,.487,483,583,.828,83,336,419,388,99,12,243,172,2078
2011-12,KobeBryant,25244493,LAL,NBA,SG,58,58,2232,574,1336,.430,87,287,.303,487,1049,.464,.462,381,451,.845,66,247,313,264,69,18,204,105,1616
2012-13,KobeBryant,27849149,LAL,NBA,SG,78,78,3013,738,1595,.463,132,407,.324,606,1188,.510,.504,525,626,.839,66,367,433,469,106,25,287,173,2133
2013-14,KobeBryant,30453805,LAL,NBA,SG,6,6,177,31,73,.425,3,16,.188,28,57,.491,.445,18,21,.857,2,24,26,38,7,1,34,9,83
2014-15,KobeBryant,23500000,LAL,NBA,SG,35,35,1207,266,713,.373,54,184,.293,212,529,.401,.411,196,241,.813,26,173,199,197,47,7,128,65,782
2015-16,KobeBryant,25000000,LAL,NBA,SF,66,66,1863,398,1113,.358,133,467,.285,265,646,.410,.417,232,281,.826,41,206,247,184,62,13,129,115,1161
2006-07,ChrisBosh,4235220,TOR,NBA,C,69,69,2658,543,1094,.496,12,35,.343,531,1059,.501,.502,463,590,.785,186,555,741,175,39,90,179,163,1561
2007-08,ChrisBosh,12455000,TOR,NBA,C,67,67,2425,507,1027,.494,10,25,.400,497,1002,.496,.499,472,559,.844,174,409,583,171,63,67,153,157,1496
2008-09,ChrisBosh,14410581,TOR,NBA,C,77,77,2928,615,1263,.487,12,49,.245,603,1214,.497,.492,504,617,.817,215,556,771,191,67,77,174,189,1746
2009-10,ChrisBosh,15779912,TOR,NBA,C,70,70,2526,600,1158,.518,8,22,.364,592,1136,.521,.522,470,590,.797,205,554,759,166,43,68,169,170,1678
2010-11,ChrisBosh,14500000,MIA,NBA,PF,77,77,2795,524,1056,.496,6,25,.240,518,1031,.502,.499,384,471,.815,141,500,641,144,59,49,138,172,1438
2011-12,ChrisBosh,17545000,MIA,NBA,PF,57,57,2007,393,807,.487,10,35,.286,383,772,.496,.493,229,279,.821,94,358,452,103,51,45,117,128,1025
2012-13,ChrisBosh,19067500,MIA,NBA,C,74,74,2454,485,907,.535,21,74,.284,464,833,.557,.546,241,302,.798,131,370,501,123,66,101,128,168,1232
2013-14,ChrisBosh,19067500,MIA,NBA,C,79,79,2531,492,953,.516,74,218,.339,418,735,.569,.555,223,272,.820,98,424,522,87,80,78,125,192,1281
2014-15,ChrisBosh,20644400,MIA,NBA,C,44,44,1556,343,745,.460,63,168,.375,280,577,.485,.503,179,232,.772,46,264,310,95,41,25,95,69,928
2015-16,ChrisBosh,22192730,MIA,NBA,PF,53,53,1778,358,767,.467,81,222,.365,277,545,.508,.520,213,268,.795,48,342,390,128,36,34,78,101,1010
2006-07,CarmeloAnthony,4694041,DEN,NBA,SF,65,65,2486,691,1453,.476,40,149,.268,651,1304,.499,.489,459,568,.808,143,248,391,249,77,23,234,203,1881
2007-08,CarmeloAnthony,13041250,DEN,NBA,SF,77,77,2806,728,1481,.492,58,164,.354,670,1317,.509,.511,464,590,.786,178,393,571,259,98,39,253,253,1978
2008-09,CarmeloAnthony,14410581,DEN,NBA,SF,66,66,2277,535,1207,.443,63,170,.371,472,1037,.455,.469,371,468,.793,106,344,450,222,75,24,199,195,1504
